State, Facility Name, Facility ID (ORISPL), Month, Year, Gross Load (MW-h), SO2 (tons), NOx (tons), CO2 (short tons), Heat Input (MMBtu)
"AL","Plant H. Allen Franklin","7710","11","2016","872514","1.774","27.358","351365.9","5912423.625",
"AL","Plant H. Allen Franklin","7710","12","2016","1099423","2.199","32.041","435495.95","7328034.575",
"AL","Tenaska Central Alabama Gen Station","55440","1","2016","467223.75","1.048","16.012","207725.716","3495372.945",
"AL","Tenaska Central Alabama Gen Station","55440","2","2016","396537.55","0.892","13.948","176759.239","2974325.016",
"AL","Tenaska Central Alabama Gen Station","55440","3","2016","606048.86","1.356","21.661","268654.049","4520585.86",
"AL","Tenaska Central Alabama Gen Station","55440","4","2016","258154.28","0.585","8.633","115822.672","1948961.162",
"AL","Tenaska Central Alabama Gen Station","55440","5","2016","459056.08","1.046","15.75","207378.473","3489561.098",
"AL","Tenaska Central Alabama Gen Station","55440","6","2016","471775.09","1.082","15.351","214362.42","3607056.535",
"AL","Tenaska Central Alabama Gen Station","55440","7","2016","523655.26","1.203","16.781","238475.451","4012848.677",
"AL","Tenaska Central Alabama Gen Station","55440","8","2016","554073.81","1.273","17.658","252108.339","4242190.139",
"AL","Tenaska Central Alabama Gen Station","55440","9","2016","480738.1","1.109","15.897","219577.182","3694801.47",
"AL","Tenaska Central Alabama Gen Station","55440","10","2016","467754.17","1.068","15.525","211579.249","3560227.466",
"AL","Tenaska Central Alabama Gen Station","55440","11","2016","211706.57","0.483","7.729","95620.399","1609015.24",
"AL","Tenaska Central Alabama Gen Station","55440","12","2016","461929.59","1.04","15.892","206069.485","3467551.187",
"AL","Tenaska Lindsay Hill Generating Station","55271","1","2016",,,,,,
"AL","Tenaska Lindsay Hill Generating Station","55271","2","2016","4633.73","0.011","0.533","2235.769","37621.272",
"AL","Tenaska Lindsay Hill Generating Station","55271","3","2016","34892.6","0.075","1.888","14927.083","251172.659",
"AL","Tenaska Lindsay Hill Generating Station","55271","4","2016","300629.7","0.637","9.287","126303.388","2125316.438",
"AL","Tenaska Lindsay Hill Generating Station","55271","5","2016","282678.67","0.614","11.626","121574.845","2045722.196",
"AL","Tenaska Lindsay Hill Generating Station","55271","6","2016","354158.16","0.756","11.099","149853.352","2521559.355",
"AL","Tenaska Lindsay Hill Generating Station","55271","7","2016","471478.97","0.991","12.834","196216.175","3301715.832",
"AL","Tenaska Lindsay Hill Generating Station","55271","8","2016","519288.12","1.087","13.407","215169.525","3620572.213",
"AL","Tenaska Lindsay Hill Generating Station","55271","9","2016","454413.79","0.952","12.06","188619.079","3173865.237",
"AL","Tenaska Lindsay Hill Generating Station","55271","10","2016","366788.71","0.768","10.006","152018.071","2557863.321",
"AL","Tenaska Lindsay Hill Generating Station","55271","11","2016","180199.76","0.386","5.531","76427.698","1285982.579",
"AL","Tenaska Lindsay Hill Generating Station","55271","12","2016","102.16","0","0.014","45.014","757.199",
"AL","Walton Discover Power Facility","55138","1","2016","901.43","0.004","1.28",,"11154.22",
"AL","Walton Discover Power Facility","55138","2","2016","1353.8","0.004","1.987",,"16616.8",
"AL","Walton Discover Power Facility","55138","3","2016",,,,,,
"AL","Walton Discover Power Facility","55138","4","2016","4235.93","0.016","5.639",,"52948.101",
"AL","Walton Discover Power Facility","55138","5","2016","4918.43","0.019","6.531",,"62218.286",
"AL","Walton Discover Power Facility","55138","6","2016","3632.76","0.014","4.899",,"46607.234",
"AL","Walton Discover Power Facility","55138","7","2016","4267.86","0.017","5.626",,"54771.703",
"AL","Walton Discover Power Facility","55138","8","2016",,,,,,
"AL","Walton Discover Power Facility","55138","9","2016",,,,,,
"AL","Walton Discover Power Facility","55138","10","2016",,,,,,
"AL","Walton Discover Power Facility","55138","11","2016",,,,,,
"AL","Walton Discover Power Facility","55138","12","2016",,,,,,
"AL","Widows Creek","50","1","2016",,,,,,
"AL","Widows Creek","50","2","2016",,,,,,
"AL","Widows Creek","50","3","2016",,,,,,
"AL","Widows Creek","50","4","2016",,,,,,
"AL","Widows Creek","50","5","2016",,,,,,
"AL","Widows Creek","50","6","2016",,,,,,
"AR","Carl Bailey","202","1","2016",,"0","0","5.33","90.17",
"AR","Carl Bailey","202","2","2016",,"0","0","4.05","68.47",
"AR","Carl Bailey","202","3","2016",,,,,,
"AR","Carl Bailey","202","4","2016",,,,,,
"AR","Carl Bailey","202","5","2016",,,,,,
"AR","Carl Bailey","202","6","2016",,"0","0.051","91.73","1549.7",
"AR","Carl Bailey","202","7","2016",,"0.009","2.282","1704.4","28757.55",
"AR","Carl Bailey","202","8","2016",,"0.012","2.938","2061.83","34703.99",
"AR","Carl Bailey","202","9","2016",,"0.022","6.756","4339.28","73205.49",
