State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"AR","Hot Spring  Energy Facility","55418","CT-1",,"5","2016","ARP, CSNOXOS","306.23","77693.74",,"0.161","0.0108","2.477","31821.36","535460.845","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Hot Spring  Energy Facility","55418","CT-2",,"5","2016","ARP, CSNOXOS","285.94","71430.73",,"0.147","0.0106","2.263","29072.672","489208.508","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Independence","6641","1",,"5","2016","ARP, MATS, CSNOXOS","744.0","320989.0",,"869.822","0.2632","379.585","322466.7","3074632.0","6","SPP","Tangentially-fired","Coal",
"AR","Independence","6641","2",,"5","2016","ARP, MATS, CSNOXOS","744.0","304202.0",,"850.094","0.2416","351.86","324482.6","3093848.0","6","SPP","Tangentially-fired","Coal",
"AR","John W. Turk Jr. Power Plant","56564","SN-01",,"5","2016","CSNOXOS, ARP, MATS","277.01","116076.83",,"36.275","0.0531","20.533","111192.269","1060186.464","6",,"Dry bottom wall-fired boiler","Coal",
"AR","Lake Catherine","170","4",,"5","2016","CSNOXOS, ARP","638.74","139956.89",,"0.422","0.2584","239.594","83529.374","1405547.366","6","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"AR","Magnet Cove Generating Station","55714","SN-01",,"5","2016","ARP, CSNOXOS","160.77","52121.11",,"0.102","0.0151","2.186","20167.502","339357.782","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Magnet Cove Generating Station","55714","SN-02",,"5","2016","ARP, CSNOXOS","0.0",,,,,,,,"6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","McClellan","203","01",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"6","SPP","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G1",,"5","2016","ARP, CSNOXOS","160.4","8296.32",,"0.019","0.254","3.914","3834.923","64533.829","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G2",,"5","2016","ARP, CSNOXOS","165.27","8466.01",,"0.02","0.192","3.437","3893.504","65507.791","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G3",,"5","2016","ARP, CSNOXOS","126.46","6376.26",,"0.015","0.2193","2.933","2913.825","49034.707","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G4",,"5","2016","ARP, CSNOXOS","165.84","8588.19",,"0.02","0.1938","3.707","3943.036","66355.3","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G5",,"5","2016","ARP, CSNOXOS","161.25","8237.81",,"0.019","0.1836","3.457","3712.717","62484.329","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G6",,"5","2016","ARP, CSNOXOS","169.33","8525.67",,"0.02","0.1924","3.815","3915.078","65889.058","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Oswald Generating Station","55221","G7",,"5","2016","ARP, CSNOXOS","182.97","15329.32",,"0.042","0.1452","4.556","8238.007","138632.896","6",,"Combined cycle","Pipeline Natural Gas",
"AR","Plum Point Energy Station","56456","1",,"5","2016","CSNOXOS, ARP, MATS","438.38","207560.78",,"124.595","0.0702","72.264","205035.446","1998396.785","6",,"Dry bottom wall-fired boiler","Coal",
