State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"AR","Thomas Fitzhugh","201","2",,"5","2016","CSNOXOS, ARP","0.0",,,,,,,,"6","SPP","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-1",,"5","2016","ARP, CSNOXOS","744.0","151060.0",,"0.373","0.012","7.466","73796.3","1241786.6","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-2",,"5","2016","ARP, CSNOXOS","734.68","152291.48",,"0.374","0.0111","6.884","74160.516","1247936.01","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-3",,"5","2016","ARP, CSNOXOS","534.44","107450.93",,"0.26","0.0138","5.144","51433.322","865511.327","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-4",,"5","2016","ARP, CSNOXOS","520.26","104431.92",,"0.253","0.0119","4.77","50113.957","843290.029","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-5",,"5","2016","ARP, CSNOXOS","438.1","87322.88",,"0.215","0.014","4.308","42568.926","716320.858","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-6",,"5","2016","ARP, CSNOXOS","376.53","75750.67",,"0.186","0.0125","3.55","36835.146","619819.06","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-7",,"5","2016","ARP, CSNOXOS","401.28","79964.82",,"0.195","0.0151","4.017","38714.916","651446.108","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","Union Power Station","55380","CTG-8",,"5","2016","ARP, CSNOXOS","403.36","81787.59",,"0.201","0.0124","3.965","39757.375","668995.818","6","SERC","Combined cycle","Pipeline Natural Gas",
"AR","White Bluff","6009","1",,"5","2016","ARP, MATS, CSNOXOS","8.12","0.0",,"0.011","0.0114","0.024","281.992","3485.16","6","SPP","Tangentially-fired","Coal",
"AR","White Bluff","6009","2",,"5","2016","ARP, MATS, CSNOXOS","75.07","21710.68",,"62.223","0.4304","50.469","25465.319","242965.17","6","SPP","Tangentially-fired","Coal",
"AZ","APS Saguaro Power Plant","118","CT3",,"5","2016","ARP","37.8","1491.1",,"0.007","0.0507","0.447","1333.907","22445.386","9","WECC","Combustion turbine","Natural Gas, Pipeline Natural Gas",
"AZ","APS West Phoenix Power Plant","117","CC4",,"5","2016","ARP","28.17","2235.77",,"0.006","0.035","0.282","1169.92","19685.493","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","APS West Phoenix Power Plant","117","CC5A",,"5","2016","ARP","334.65","60158.08",,"0.14","0.0217","4.35","27805.441","467867.146","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","APS West Phoenix Power Plant","117","CC5B",,"5","2016","ARP","260.52","47556.54",,"0.111","0.0187","3.107","21983.272","369897.086","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Agua Fria Generating Station","141","1",,"5","2016","ARP","30.67","1539.41",,"0.005","0.2044","2.468","988.222","16629.041","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"AZ","Agua Fria Generating Station","141","2",,"5","2016","ARP","0.0",,,,,,,,"9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"AZ","Agua Fria Generating Station","141","3",,"5","2016","ARP","36.82","2757.2",,"0.009","0.3256","8.891","1742.738","29331.283","9","WECC","Dry bottom turbo-fired boiler","Pipeline Natural Gas",
"AZ","Apache Station","160","1",,"5","2016","ARP","426.84","14108.15",,"0.049","0.2592","21.244","9765.313","164331.88","9",,"Dry bottom wall-fired boiler","Pipeline Natural Gas",
"AZ","Apache Station","160","2",,"5","2016","ARP, MATS","743.65","72181.6",,"7.704","0.3133","121.802","72673.98","723961.285","9",,"Dry bottom turbo-fired boiler","Coal",
"AZ","Apache Station","160","3",,"5","2016","ARP, MATS","743.95","97249.3",,"12.861","0.4251","216.642","101756.9","997607.935","9",,"Dry bottom turbo-fired boiler","Coal",
"AZ","Apache Station","160","4",,"5","2016","ARP","55.6","1902.2",,"0.006","0.0355","0.251","1191.589","20051.809","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Arlington Valley Energy Facility","55282","CTG1",,"5","2016","ARP","698.56","153605.2",,"0.328","0.0088","4.352","64954.61","1093018.227","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Arlington Valley Energy Facility","55282","CTG2",,"5","2016","ARP","686.38","152123.18",,"0.322","0.008","3.736","63793.099","1073435.033","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Black Mountain Generating Station","56482","1",,"5","2016","ARP","128.8","4457.23",,"0.079","0.116","2.453","2689.684","45258.823","9","WECC","Combustion turbine","Natural Gas",
"AZ","Black Mountain Generating Station","56482","2",,"5","2016","ARP","81.1","2353.98",,"0.044","0.1225","1.359","1476.983","24859.06","9","WECC","Combustion turbine","Natural Gas",
"AZ","Cholla","113","1",,"5","2016","ARP, MATS","197.4","11398.58",,"9.087","0.1799","12.836","15440.137","150487.292","9","WECC","Tangentially-fired","Coal",
"AZ","Cholla","113","3",,"5","2016","ARP, MATS","171.68","21697.18",,"9.867","0.2286","28.032","25762.046","251096.288","9","WECC","Tangentially-fired","Coal",
"AZ","Cholla","113","4",,"5","2016","ARP, MATS","623.85","86906.0",,"38.681","0.2377","109.117","94162.023","917761.385","9","WECC","Tangentially-fired","Coal",
"AZ","Coolidge Generating Station","56948","CT01",,"5","2016","ARP","3.33","127.42",,"0.0","0.0537","0.01","73.058","1230.206","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT02",,"5","2016","ARP","5.69","224.39",,"0.001","0.0255","0.016","127.685","2148.629","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT03",,"5","2016","ARP","4.19","141.55",,"0.0","0.0459","0.013","82.446","1388.571","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT04",,"5","2016","ARP","4.01","127.82",,"0.0","0.085","0.016","77.174","1298.308","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT05",,"5","2016","ARP","11.77","445.36",,"0.001","0.0406","0.038","254.105","4277.301","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT06",,"5","2016","ARP","16.91","637.43",,"0.002","0.0312","0.042","358.972","6038.403","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT07",,"5","2016","ARP","22.19","843.91",,"0.002","0.0451","0.06","478.795","8057.957","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT08",,"5","2016","ARP","25.41","950.44",,"0.003","0.0155","0.051","546.089","9188.371","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT09",,"5","2016","ARP","33.47","1252.44",,"0.004","0.0258","0.07","707.486","11904.841","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT10",,"5","2016","ARP","42.69","1517.83",,"0.004","0.0252","0.079","854.757","14377.15","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT11",,"5","2016","ARP","17.68","642.02",,"0.002","0.0273","0.032","370.677","6236.318","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coolidge Generating Station","56948","CT12",,"5","2016","ARP","37.43","1349.52",,"0.004","0.0153","0.06","772.81","13002.548","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Coronado Generating Station","6177","U1B",,"5","2016","ARP, MATS","662.84","189968.54",,"7.37","0.2697","279.119","212590.14","2026986.168","9","WECC","Dry bottom turbo-fired boiler","Coal",
"AZ","Coronado Generating Station","6177","U2B",,"5","2016","ARP, MATS","707.91","203839.5",,"37.093","0.0534","54.231","214403.864","2044271.264","9","WECC","Dry bottom turbo-fired boiler","Coal",
"AZ","De Moss Petrie Generating Station","124","GT1",,"5","2016","ARP","7.7","360.9",,"0.009","0.0468","0.081","298.62","5024.27","9",,"Combustion turbine","Natural Gas",
"AZ","Desert Basin Generating Station","55129","DBG1",,"5","2016","ARP","205.67","47906.97",,"0.113","0.017","2.209","22353.655","376141.705","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Desert Basin Generating Station","55129","DBG2",,"5","2016","ARP","107.23","26920.7",,"0.063","0.0163","1.233","12431.681","209192.075","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","1CTGA",,"5","2016","ARP","9.34","1182.39",,"0.003","0.084","0.229","540.846","9099.603","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","1CTGB",,"5","2016","ARP","23.17","3763.92",,"0.008","0.0831","0.427","1588.221","26724.914","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","2CTGA",,"5","2016","ARP","15.73","2537.9",,"0.006","0.0765","0.353","1096.709","18454.297","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","2CTGB",,"5","2016","ARP","86.76","18620.09",,"0.038","0.0157","0.557","7553.894","127110.968","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","3CTGA",,"5","2016","ARP","518.26","110378.36",,"0.228","0.0176","3.944","45129.839","759391.765","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","3CTGB",,"5","2016","ARP","448.79","94345.43",,"0.196","0.0122","2.811","38850.31","653733.538","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","4CTGA",,"5","2016","ARP","598.76","131287.45",,"0.276","0.0124","3.932","54572.382","918294.124","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Gila River Power Station","55306","4CTGB",,"5","2016","ARP","572.24","126352.93",,"0.263","0.0122","3.82","52178.846","878018.086","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Griffith Energy Project","55124","P1",,"5","2016","ARP","27.91","5274.05",,"0.011","0.0553","0.443","2232.93","37578.521","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Griffith Energy Project","55124","P2",,"5","2016","ARP","184.43","36486.56",,"0.08","0.0315","1.934","15788.95","265680.259","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Irvington Generating Station","126","1",,"5","2016","ARP","29.58","702.4",,"0.016","0.1262","0.684","528.64","8898.342","9",,"Tangentially-fired","Natural Gas",
"AZ","Irvington Generating Station","126","2",,"5","2016","ARP","199.12","7143.25",,"0.141","0.1207","5.239","4789.738","80594.39","9",,"Tangentially-fired","Natural Gas",
"AZ","Irvington Generating Station","126","3",,"5","2016","ARP","131.62","5272.07",,"0.093","0.1396","3.94","3163.813","53230.161","9",,"Tangentially-fired","Natural Gas",
"AZ","Irvington Generating Station","126","4",,"5","2016","ARP, MATS","741.24","63685.82",,"1.869","0.1739","59.711","41650.948","679349.784","9",,"Dry bottom wall-fired boiler","Coal",
"AZ","Kyrene Generating Station","147","K-7",,"5","2016","ARP","611.23","130042.08",,"0.277","0.0101","3.965","54824.884","922519.859","9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Mesquite Generating Station","55481","1",,"5","2016","ARP","367.16","92868.22",,"0.203","0.0215","3.928","40176.111","676039.359","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Mesquite Generating Station","55481","2",,"5","2016","ARP","367.91","90671.4",,"0.2","0.0198","3.829","39610.42","666511.148","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Mesquite Generating Station","55481","5",,"5","2016","ARP","351.74","71371.84",,"0.158","0.0141","2.648","31382.93","528079.221","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Mesquite Generating Station","55481","6",,"5","2016","ARP","302.86","62662.16",,"0.14","0.0173","2.51","27777.992","467414.053","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Navajo Generating Station","4941","1",,"5","2016","ARP, MATS","721.63","333757.0",,"75.78","0.1514","281.483","369159.411","3598049.861","9","WECC","Tangentially-fired","Coal",
"AZ","Navajo Generating Station","4941","2",,"5","2016","ARP, MATS","719.83","335822.15",,"71.065","0.1491","298.776","398788.011","3886828.319","9","WECC","Tangentially-fired","Coal",
"AZ","Navajo Generating Station","4941","3",,"5","2016","ARP, MATS","744.0","333609.0",,"70.846","0.1416","251.135","349197.0","3403470.2","9","WECC","Tangentially-fired","Coal",
"AZ","New Harquahala Generating Company, LLC","55372","CTG1",,"5","2016","ARP","525.77","102818.62",,"0.326","0.0142","7.416","64478.199","1084973.847","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","New Harquahala Generating Company, LLC","55372","CTG2",,"5","2016","ARP","183.96","35671.6",,"0.112","0.0106","1.553","22246.946","374359.407","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","New Harquahala Generating Company, LLC","55372","CTG3",,"5","2016","ARP","142.75","27754.18",,"0.087","0.0105","1.199","17186.083","289199.568","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Ocotillo Power Plant","116","1",,"5","2016","ARP","118.93","4140.77",,"0.015","0.1035","3.197","3021.595","50852.285","9",,"Tangentially-fired","Pipeline Natural Gas",
"AZ","Ocotillo Power Plant","116","2",,"5","2016","ARP","128.47","4513.07",,"0.017","0.1181","3.933","3347.345","56334.234","9",,"Tangentially-fired","Pipeline Natural Gas",
"AZ","Redhawk Generating Facility","55455","CC1A",,"5","2016","ARP","731.62","133256.14",,"0.285","0.0152","5.23","56391.144","948910.486","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Redhawk Generating Facility","55455","CC1B",,"5","2016","ARP","744.0","139243.0",,"0.297","0.0117","4.656","58776.6","989041.5","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Redhawk Generating Facility","55455","CC2A",,"5","2016","ARP","667.61","120344.56",,"0.257","0.012","4.123","50984.395","857924.144","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Redhawk Generating Facility","55455","CC2B",,"5","2016","ARP","690.62","122960.7",,"0.267","0.0128","4.415","52962.964","891193.068","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Santan","8068","5A",,"5","2016","ARP","418.07","97714.42",,"0.218","0.0218","4.033","43148.614","726058.104","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Santan","8068","5B",,"5","2016","ARP","585.69","134696.13",,"0.3","0.0138","4.12","59351.701","998703.864","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","Santan","8068","6A",,"5","2016","ARP","528.45","121620.79",,"0.26","0.0152","3.774","51567.784","867726.646","9",,"Combined cycle","Pipeline Natural Gas",
"AZ","South Point Energy Center, LLC","55177","A",,"5","2016","ARP","0.0",,,,,,,,"9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","South Point Energy Center, LLC","55177","B",,"5","2016","ARP","0.0",,,,,,,,"9","WECC","Combined cycle","Pipeline Natural Gas",
"AZ","Springerville Generating Station","8223","1",,"5","2016","ARP, MATS","660.22","144840.1",,"140.023","0.1776","122.31","144015.293","1373144.958","9","WECC","Tangentially-fired","Coal",
"AZ","Springerville Generating Station","8223","2",,"5","2016","ARP, MATS","744.0","289756.0",,"289.908","0.1674","215.614","269999.1","2574366.4","9","WECC","Tangentially-fired","Coal",
"AZ","Springerville Generating Station","8223","4",,"5","2016","ARP, MATS","732.19","211288.08",,"73.844","0.0727","74.461","212207.98","2026227.424","9","WECC","Dry bottom wall-fired boiler","Coal",
"AZ","Springerville Generating Station","8223","TS3",,"5","2016","ARP, MATS","744.0","164036.0",,"59.568","0.0934","78.106","175780.8","1676078.8","9","WECC","Dry bottom wall-fired boiler","Coal",
"AZ","Sundance Power Plant","55522","CT01",,"5","2016","ARP","27.19","823.87",,"0.003","0.0202","0.088","571.717","9621.16","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT02",,"5","2016","ARP","21.31","632.23",,"0.002","0.0347","0.08","439.343","7391.492","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT03",,"5","2016","ARP","21.78","723.51",,"0.002","0.0367","0.086","412.225","6933.436","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT04",,"5","2016","ARP","32.34","879.95",,"0.003","0.0181","0.084","620.678","10445.069","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT05",,"5","2016","ARP","4.04","147.24",,"0.0","0.0104","0.008","96.512","1624.532","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT06",,"5","2016","ARP","35.89","1053.45",,"0.004","0.0318","0.089","729.229","12273.944","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT07",,"5","2016","ARP","49.67","1356.04",,"0.005","0.0365","0.175","949.542","15980.621","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT08",,"5","2016","ARP","51.22","1671.39",,"0.006","0.0302","0.165","1118.868","18832.081","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT09",,"5","2016","ARP","50.09","1493.54",,"0.005","0.0176","0.126","1028.815","17308.632","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Sundance Power Plant","55522","CT10",,"5","2016","ARP","27.35","831.59",,"0.003","0.0333","0.085","568.789","9570.049","9",,"Combustion turbine","Pipeline Natural Gas",
"AZ","Yucca Power Plant","120","1",,"5","2016","ARP","664.35","33614.28",,"0.114","0.123","26.101","22621.968","380674.0","9","WECC","Tangentially-fired","Pipeline Natural Gas",
"AZ","Yucca Power Plant","120","CT5",,"5","2016","ARP","41.66","818.5",,"0.003","0.0308","0.089","645.097","10850.74","9","WECC","Combustion turbine","Pipeline Natural Gas",
"AZ","Yucca Power Plant","120","CT6",,"5","2016","ARP","42.52","901.88",,"0.003","0.0301","0.08","689.506","11597.919","9","WECC","Combustion turbine","Pipeline Natural Gas",
"CA","AES Alamitos","315","1",,"5","2016","ARP","0.0",,,,,,,,"9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Alamitos","315","2",,"5","2016","ARP","196.0","6463.0",,"0.028","0.0134","0.357","5463.6","91930.3","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Alamitos","315","3",,"5","2016","ARP","251.0","22581.0",,"0.077","0.0076","0.777","15223.3","256158.9","9","WECC","Tangentially-fired","Pipeline Natural Gas",
"CA","AES Alamitos","315","4",,"5","2016","ARP","338.0","23443.0",,"0.087","0.0074","0.878","17303.6","291179.0","9","WECC","Tangentially-fired","Pipeline Natural Gas",
"CA","AES Alamitos","315","5",,"5","2016","ARP","47.0","5063.0",,"0.02","0.0059","0.128","4031.8","67840.6","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Alamitos","315","6",,"5","2016","ARP","44.0","6593.0",,"0.023","0.0221","0.781","4614.9","77651.3","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Huntington Beach","335","1",,"5","2016","ARP","246.0","20536.0",,"0.072","0.0176","0.718","14183.3","238647.6","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Huntington Beach","335","2",,"5","2016","ARP","95.0","8891.0",,"0.029","0.0089","0.181","5821.7","97966.0","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Redondo Beach","356","5",,"5","2016","ARP","62.0","1333.0",,"0.008","0.011","0.098","1517.9","25534.7","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Redondo Beach","356","6",,"5","2016","ARP","271.0","10302.0",,"0.05","0.0413","3.439","9828.1","165366.7","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Redondo Beach","356","7",,"5","2016","ARP","94.0","19342.0",,"0.062","0.0236","0.808","12280.9","206651.2","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","AES Redondo Beach","356","8",,"5","2016","ARP","82.0","16148.0",,"0.051","0.0175","0.522","10187.6","171433.4","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","Agua Mansa Power","55951","AMP-1",,"5","2016","ARP","0.0",,,,,,,,"9",,"Combustion turbine","Pipeline Natural Gas",
"CA","Almond Power Plant","7315","1",,"5","2016","ARP","0.0",,,,,,,,"9","WECC","Combustion turbine","Pipeline Natural Gas",
"CA","Almond Power Plant","7315","2",,"5","2016","ARP","12.42","374.86",,"0.001","0.0171","0.02","238.912","4020.035","9","WECC","Combustion turbine","Pipeline Natural Gas",
"CA","Almond Power Plant","7315","3",,"5","2016","ARP","86.15","2888.95",,"0.009","0.0162","0.154","1798.3","30260.455","9","WECC","Combustion turbine","Pipeline Natural Gas",
"CA","Almond Power Plant","7315","4",,"5","2016","ARP","2.83","44.22",,"0.0","0.0276","0.006","35.972","605.332","9","WECC","Combustion turbine","Pipeline Natural Gas",
"CA","Anaheim Combustion Turbine","7693","1",,"5","2016","ARP","37.28","1460.99",,"0.004","0.0389","0.226","821.156","13814.33","9",,"Combustion turbine","Pipeline Natural Gas",
"CA","Barre Generating Station","56474","CT1",,"5","2016","ARP","3.1","143.95",,"0.0","0.015","0.008","83.69","1407.59","9",,"Combustion turbine","Pipeline Natural Gas",
"CA","Blythe Energy","55295","1",,"5","2016","ARP","140.57","19896.19",,"0.063","0.0083","0.741","12510.519","210511.883","9","WECC","Combined cycle","Pipeline Natural Gas",
"CA","Blythe Energy","55295","2",,"5","2016","ARP","138.98","19705.91",,"0.062","0.0096","0.881","12373.285","208205.0","9","WECC","Combined cycle","Pipeline Natural Gas",
"CA","Broadway","420","B3",,"5","2016","ARP","0.0",,,,,,,,"9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
"CA","Cabrillo Power I Encina Power Station","302","1"," CS0001","5","2016","ARP","19.19","376.66",,"0.002","0.0117","0.031","330.302","5560.584","9","WECC","Dry bottom wall-fired boiler","Pipeline Natural Gas",
